emotion_id,nrc_term,perma_term,perma_category,perma_score
138,grant,giving,POS_R,"0.0623516015
"
138,grant,giving,POS_M,"-0.013111608
"
138,grant,giving,POS_A,"0.0366115364
"
138,grant,giving,POS_E,"0.0647977048
"
139,reach,hold,NEG_M,"0.0272519604
"
139,reach,hold,NEG_R,"-0.0164846071
"
139,reach,hold,POS_M,"-0.011356337
"
139,reach,reach,POS_M,"0.0679968704
"
140,single,one,POS_P,"-0.0607676305
"
140,single,one,NEG_M,"-0.0335732701
"
140,single,one,NEG_R,"-0.0382770787
"
140,single,one,NEG_P,"-0.1074201272
"
140,single,one,POS_A,"-0.0240702345
"
140,single,one,POS_E,"-0.0292205931
"
141,dust,dust,NEG_P,"0.0390838893
"
141,dust,earth,POS_M,"0.0491047055
"
141,dust,earth,POS_E,"0.0480638573
"
143,gallant,courage,POS_R,"0.077706558
"
143,gallant,courage,POS_M,"0.0539105054
"
144,lead,lead,POS_P,"0.0727558821
"
144,lead,lead,POS_M,"0.0229569491
"
144,lead,lead,POS_A,"0.0367406723
"
144,lead,lead,POS_E,"0.0551324809
"
147,shuffle,change,NEG_R,"-0.0200877274
"
147,shuffle,change,POS_M,"0.0272233703
"
151,period,hour,NEG_E,"0.0716886469
"
151,period,hour,NEG_A,"0.0953747058
"
151,period,hour,NEG_R,"0.0893660362
"
151,period,hour,NEG_P,"0.1049573313
"
151,period,hour,POS_E,"0.0778697512
"
152,chart,plan,POS_M,"-0.0138705419
"
154,wild,waste,NEG_P,"0.014632981
"
155,double,double,POS_A,"0.0467326714
"
157,form,cast,POS_M,"0.018797654
"
159,tide,race,POS_M,"0.0477100438
"
159,tide,river,POS_A,"0.0402173786
"
163,sore,sore,NEG_E,"0.049190426
"
163,sore,sore,NEG_A,"0.0388686593
"
163,sore,pain,NEG_A,"0.0864892926
"
163,sore,pain,NEG_R,"0.0544390144
"
163,sore,sore,NEG_P,"0.0539072731
"
163,sore,pain,NEG_P,"0.2449676791
"
163,sore,pain,POS_M,"-0.0194520218
"
164,junction,link,POS_E,"0.1036216904
"
165,agency,action,POS_E,"0.0883026724
"
170,animation,strength,NEG_A,"-0.0125802406
"
170,animation,breath,NEG_M,"0.0604223798
"
170,animation,strength,POS_M,"0.0171464931
"
170,animation,breath,POS_M,"0.0597819756
"
170,animation,strength,POS_A,"-0.0101522425
"
170,animation,strength,POS_E,"-0.037855536
"
175,staff,staff,POS_E,"0.0313691984
"
177,model,study,POS_A,"0.1055864789
"
177,model,study,POS_E,"0.1206511051
"
180,scent,smell,POS_M,"0.0843556642
"
186,current,race,POS_M,"0.0477100438
"
186,current,river,POS_A,"0.0402173786
"
191,note,note,NEG_P,"0.0532352696
"
194,encounter,meeting,POS_R,"0.0417624018
"
194,encounter,meeting,POS_M,"0.0479509627
"
194,encounter,meeting,POS_A,"0.0609254585
"
199,reason,reason,NEG_E,"0.0422048136
"
199,reason,reason,NEG_M,"0.018334701
"
